1,3.256
2,3.289
3,3.378
4,3.433
5,3.457
6,3.488
7,3.677
8,4.016
9,4.275
10,4.467
11,4.687
12,4.928
13,5.267
14,5.639
15,6.045
16,6.414
17,6.619
18,6.518
19,6.228
20,5.911
21,5.697
22,5.609
23,5.194
24,4.428
25,3.405
26,2.45
27,1.666
28,1.263
29,1.354
30,1.617
31,1.907
32,2.239
33,2.514
34,2.688
35,2.923
