1,0.037,,,
2,0.04,,,
3,0.049,,,
4,0.054,,,
5,0.056,,,
6,0.059,,,
7,0.078,,,
8,0.113,,,
9,0.156,,,
10,0.188,,,
11,0.224,,,
12,0.264,,,
13,0.341,,,
14,0.427,,,
15,0.529,,,
16,0.642,,,
17,0.704,,,
18,0.673,,,
19,0.584,,,
20,0.49,,,
21,0.441,,,
22,0.42,,,
23,0.323,,,
24,0.181,,,
25,0.051,,,
26,0.005,,,
27,0,,,
28,0,,,
29,0,,,
30,0,,,
31,0,,,
32,0.002,,,
33,0.005,,,
34,0.007,,,
35,0.01,,,
